,,name,start_date_local,type,distance,elapsed_time,moving_time,total_elevation_gain,kudos_count,average_speed,max_speed,average_heartrate,max_heartrate,average_cadence,time_of_day,average_split
y,317,UT2,2021-10-25,Rowing,12923.0,3690.0,,,,3.502168022,,,,20.0,,02:19.3
x,549,Afternoon Run,2021-10-24,Run,8837.0,3224.0,3165.0,98.0,12.0,2.792,4.284,145.0,163.0,81.6,17:22:25,
y,353,,2021-10-24,Run,8830.0,3165.0,,,,2.789889415,,,,,,00:00.0
x,550,2x,2021-10-23,Rowing,11613.2,4841.0,4589.0,5.2,7.0,2.531,4.292,124.0,152.0,19.8,07:34:38,
x,551,UT2,2021-10-22,Rowing,0.0,3698.0,3698.0,0.0,1.0,0.0,0.0,151.5,162.0,20.1,17:05:07,
x,552,S&C,2021-10-22,WeightTraining,0.0,4763.0,4763.0,0.0,5.0,0.0,0.0,122.5,154.0,0.0,06:50:54,
y,316,UT2,2021-10-22,Rowing,13028.0,3690.0,,,,3.530623306,,,,20.0,,02:18.1
x,553,3x2k,2021-10-21,Rowing,0.0,1869.0,1869.0,0.0,8.0,0.0,0.0,173.3,192.0,25.4,18:12:53,
x,554,Morning Run,2021-10-21,Run,7333.7,2740.0,2701.0,61.0,15.0,2.715,4.028,152.3,166.0,83.6,09:12:18,
y,280,3x2k,2021-10-21,Rowing,6000.0,1491.2,,,,4.02360515,,,,,,02:04.2
y,352,,2021-10-21,Run,7330.0,2701.0,,,,2.7138097,,,,,,00:00.0
x,555,UT2,2021-10-20,Rowing,0.0,3697.0,3697.0,0.0,4.0,0.0,0.0,155.1,163.0,20.2,15:48:00,
x,556,S&C,2021-10-20,WeightTraining,0.0,3889.0,3889.0,0.0,4.0,0.0,0.0,125.9,171.0,0.0,07:07:53,
y,315,UT2,2021-10-20,Rowing,12885.0,3690.0,,,,3.491869919,,,,20.0,,02:19.6
x,557,30r20,2021-10-19,Rowing,0.0,1815.0,1815.0,0.0,4.0,0.0,0.0,179.8,192.0,20.4,18:23:19,
x,558,4+,2021-10-19,Rowing,8250.6,3235.0,2994.0,5.1,9.0,2.756,3.8,123.6,158.0,18.8,07:09:04,
y,275,30r20,2021-10-19,Rowing,6951.0,1800.0,,,,3.861666667,,,,20.0,,02:09.4
x,559,UT2,2021-10-18,Rowing,0.0,3697.0,3697.0,0.0,4.0,0.0,0.0,156.4,164.0,20.1,15:06:23,
x,560,S&C,2021-10-18,WeightTraining,0.0,4243.0,4243.0,0.0,7.0,0.0,0.0,132.5,157.0,0.0,06:54:53,
y,314,UT2,2021-10-18,Rowing,12837.0,3690.0,,,,3.478861789,,,,20.0,,02:20.2
x,561,8+,2021-10-16,Rowing,11762.7,4664.0,4114.0,5.2,5.0,2.859,4.4,120.7,140.0,20.4,07:10:17,
x,562,UT2,2021-10-15,Rowing,0.0,3690.0,3690.0,0.0,4.0,0.0,0.0,156.0,162.0,20.2,17:02:48,
x,563,S&C,2021-10-15,WeightTraining,0.0,4545.0,4545.0,0.0,2.0,0.0,0.0,122.9,152.0,0.0,06:52:19,
y,313,UT2,2021-10-15,Rowing,12809.0,3690.0,,,,3.471273713,,,,20.0,,02:20.5
x,564,3x10’ r20 r90s,2021-10-14,Rowing,0.0,2009.0,2009.0,0.0,4.0,0.0,0.0,173.9,190.0,20.5,18:17:02,
x,565,8+,2021-10-14,Rowing,8755.8,3641.0,3138.0,5.2,11.0,2.79,4.1,120.8,155.0,18.4,07:00:53,
x,566,4+,2021-10-13,Rowing,8156.1,3827.0,3089.0,0.0,6.0,2.64,3.9,126.3,157.0,17.8,14:40:36,
x,567,S&C,2021-10-13,WeightTraining,0.0,4070.0,4070.0,0.0,2.0,0.0,0.0,128.7,174.0,0.0,07:00:09,
x,568,Water session replacement,2021-10-12,Run,8112.3,2607.0,2589.0,66.0,7.0,3.133,4.6,162.5,171.0,83.5,08:06:19,
x,569,UT2,2021-10-11,Rowing,0.0,3698.0,3698.0,0.0,0.0,0.0,0.0,152.6,161.0,20.2,15:49:23,
x,570,S&C,2021-10-11,WeightTraining,0.0,4305.0,4305.0,0.0,2.0,0.0,0.0,142.8,178.0,0.0,06:55:02,
y,312,UT2,2021-10-11,Rowing,12755.0,3690.0,,,,3.456639566,,,,20.0,,02:21.1
x,571,LTR run,2021-10-10,Run,2169.1,843.0,821.0,16.0,2.0,2.642,3.6,146.4,164.0,82.9,14:30:43,
x,572,LTR run,2021-10-10,Run,2963.2,1137.0,1085.0,26.0,4.0,2.731,3.7,151.5,173.0,81.7,13:39:52,
x,573,60’ easy,2021-10-09,Run,10047.5,3656.0,3602.0,104.0,9.0,2.789,4.0,147.9,161.0,82.8,17:28:03,
x,574,4+,2021-10-09,Rowing,5088.5,2816.0,2521.0,0.0,4.0,2.018,3.8,114.5,150.0,19.9,07:11:18,
x,575,3x2k,2021-10-08,Rowing,0.0,1770.0,1770.0,0.0,1.0,0.0,0.0,175.3,191.0,22.1,17:17:43,
x,576,S&C,2021-10-08,WeightTraining,0.0,5592.0,5592.0,0.0,1.0,0.0,0.0,131.3,169.0,0.0,06:50:58,
x,577,UT2,2021-10-07,Rowing,0.0,3726.0,3726.0,0.0,4.0,0.0,0.0,161.5,175.0,20.1,18:06:48,
x,578,4+,2021-10-07,Rowing,6001.1,2991.0,2818.0,0.0,5.0,2.13,4.1,119.0,149.0,18.9,07:03:32,
y,311,UT2,2021-10-07,Rowing,12728.0,3690.0,,,,3.449322493,,,,20.0,,02:21.4
x,579,8+ 😮,2021-10-06,Rowing,7552.5,4062.0,3574.0,0.0,8.0,2.113,4.3,118.1,141.0,18.7,14:37:25,
x,580,S&C,2021-10-06,WeightTraining,0.0,4283.0,4283.0,0.0,2.0,0.0,0.0,124.8,158.0,0.0,06:52:50,
x,581,30r20,2021-10-05,Rowing,0.0,1753.0,1753.0,0.0,4.0,0.0,0.0,184.0,193.0,20.3,18:32:47,
x,582,4x,2021-10-05,Rowing,4474.4,2875.0,2605.0,0.0,1.0,1.718,4.1,122.6,153.0,18.9,07:04:08,
x,583,Afternoon Run,2021-10-04,Run,10434.4,3448.0,3426.0,75.0,1.0,3.046,4.3,162.9,183.0,83.8,16:57:32,
x,584,Return to UBBC,2021-10-04,WeightTraining,0.0,4568.0,4568.0,0.0,8.0,0.0,0.0,149.3,178.0,0.0,06:48:47,
x,585,Lunch Activity,2021-10-02,WeightTraining,0.0,4039.0,4039.0,0.0,0.0,0.0,0.0,109.9,134.0,0.0,11:21:31,
x,586,Morning Run,2021-09-30,Run,5036.6,1924.0,1920.0,57.0,0.0,2.623,4.0,151.7,163.0,82.5,07:25:14,
x,587,Afternoon Activity,2021-09-29,Rowing,0.0,1788.0,1788.0,0.0,0.0,0.0,0.0,171.7,188.0,22.3,16:39:04,
x,588,Morning Activity,2021-09-29,WeightTraining,0.0,3921.0,3921.0,0.0,0.0,0.0,0.0,138.2,174.0,0.0,07:37:06,
x,589,Afternoon Run,2021-09-28,Run,6324.7,2289.0,2278.0,96.0,0.0,2.776,4.5,155.5,176.0,83.0,16:53:54,
x,590,Morning Activity,2021-09-28,Rowing,0.0,3096.0,3096.0,0.0,0.0,0.0,0.0,160.3,171.0,19.9,07:38:05,
x,591,Afternoon Run,2021-09-27,Run,8396.9,2708.0,2701.0,62.0,0.0,3.109,4.8,166.7,184.0,83.1,17:03:19,
x,592,Morning Activity,2021-09-27,WeightTraining,0.0,3729.0,3729.0,0.0,0.0,0.0,0.0,124.3,152.0,0.0,08:00:52,
x,593,Morning Activity,2021-09-25,WeightTraining,0.0,4575.0,4575.0,0.0,0.0,0.0,0.0,129.7,175.0,0.0,09:02:12,
x,594,Afternoon Activity,2021-09-24,Rowing,0.0,2558.0,2558.0,0.0,0.0,0.0,0.0,157.4,169.0,19.9,17:42:05,
x,595,Morning Run,2021-09-24,Run,6010.2,2341.0,1979.0,51.0,0.0,3.037,4.1,169.5,181.0,82.4,09:38:01,
x,596,Weights,2021-09-22,WeightTraining,0.0,3696.0,3696.0,0.0,0.0,0.0,0.0,128.6,172.0,0.0,13:14:04,
x,597,Afternoon Run,2021-09-16,Run,5006.9,2020.0,1716.0,112.0,6.0,2.918,4.2,160.5,178.0,83.0,15:49:26,
